m,n,k,us,tflops,iters
1,1,1,10.62175989151001,1.882927142420724e-07,100
2,2,2,7.8623998165130615,2.0350020824934248e-06,100
3,3,3,7.504640221595764,7.195548141615989e-06,100
4,4,4,7.298240065574646,1.7538474872013078e-05,100
5,5,5,7.2992002964019775,3.4250327412337685e-05,100
6,6,6,10.74720025062561,4.019651536453437e-05,100
7,7,7,7.238079905509949,9.477651655624669e-05,100
8,8,8,9.18944001197815,0.00011143225252738446,100
9,9,9,7.147200107574463,0.0002039959673795673,100
10,10,10,10.04639983177185,0.00019907628936636368,100
11,11,11,7.1561598777771,0.0003719872173715172,100
12,12,12,9.959359765052795,0.00034701025784077393,100
13,13,13,7.116159796714783,0.0006174678654670622,100
14,14,14,10.314559936523438,0.0005320634165464699,100
15,15,15,7.348160147666931,0.0009185972902540987,100
16,16,16,9.593600034713745,0.000853902598644705,100
17,17,17,10.647679567337036,0.0009228301751437345,100
18,18,18,7.662720084190369,0.0015221748767862504,100
19,19,19,10.372799634933472,0.001322497347177186,100
20,20,20,7.613760232925415,0.002101458347848756,100
21,21,21,10.47327995300293,0.0017685004204140765,100
22,22,22,7.301759719848633,0.002916557215942114,100
23,23,23,9.871039986610413,0.0024651911078273307,100
24,24,24,9.236479997634888,0.0029933481160658183,100
25,25,25,9.849600195884705,0.003172717610716491,100
26,26,26,7.468479871749878,0.004706714164547093,100
27,27,27,9.853119850158691,0.003995282773239177,100
28,28,28,7.432000041007996,0.005907427308631358,100
29,29,29,9.816640019416809,0.004968909922694488,100
30,30,30,7.4374401569366455,0.0072605626210835526,100
31,31,31,9.88319993019104,0.006028614256602244,100
32,32,32,8.92416000366211,0.007343660352695012,100
33,33,33,9.94592010974884,0.007226480728469777,100
34,34,34,7.493759989738464,0.010489794189784754,100
35,35,35,9.909759759902954,0.008653085652687888,100
36,36,36,7.478079795837402,0.012478069577693084,100
37,37,37,9.887999892234802,0.010245348008099916,100
38,38,38,7.517759799957275,0.014597965739823677,100
