m,n,k,us,tflops,iters
1,1,1024,10.260159969329834,0.00019960702426882043,100
2,2,1024,10.543999671936035,0.0007769347737940349,100
3,3,1024,10.413119792938232,0.0017700747102227573,100
4,4,1024,10.215679407119751,0.003207618279129096,100
5,5,1024,10.049599409103394,0.0050947304380730505,100
6,6,1024,10.107519626617432,0.007294371193288863,100
7,7,1024,10.319360494613647,0.009724633619726758,100
8,8,1024,9.46720004081726,0.013844853751361649,100
9,9,1024,10.011839866638184,0.016569182309115634,100
10,10,1024,10.049599409103394,0.020378921752292202,100
11,11,1024,9.874240159988403,0.025096412076763892,100
12,12,1024,9.554240107536316,0.030867132988145814,100
13,13,1024,9.648000001907349,0.0358739635086625,100
14,14,1024,9.585919976234436,0.0418747497366113,100
15,15,1024,9.590719938278198,0.048046445205940036,100
16,16,1024,9.231039881706238,0.05679620137261201,100
17,17,1024,9.938880205154419,0.059551175563324364,100
18,18,1024,9.584640264511108,0.06923076732018031,100
19,19,1024,9.703680276870728,0.07619047401656776,100
20,20,1024,9.578880071640015,0.08552147995102141,100
21,21,1024,9.670400023460388,0.09339510235449563,100
22,22,1024,9.582719802856445,0.1034395266054352,100
23,23,1024,9.606720209121704,0.11277438880454803,100
24,24,1024,9.113280177116394,0.12944274477175813,100
25,25,1024,9.745280146598816,0.13134563406540248,100
26,26,1024,9.818559885025024,0.14100316301085244,100
27,27,1024,9.928640127182007,0.1503722544956162,100
28,28,1024,9.589759707450867,0.16743193249696206,100
29,29,1024,9.633600115776062,0.17878757466582365,100
30,30,1024,13.048319816589355,0.14125956643525817,100
31,31,1024,10.44160008430481,0.18848911891946257,100
32,32,1024,8.957440257072449,0.23412402871949603,100
33,33,1024,9.625599980354309,0.2317021281324747,100
34,34,1024,9.599360227584839,0.2466297694711735,100
35,35,1024,9.62943971157074,0.26053436909578703,100
36,36,1024,9.550399780273438,0.2779159052045471,100
37,37,1024,9.62336003780365,0.29134439416026403,100
38,38,1024,9.551360011100769,0.3096220848719928,100
39,39,1024,9.666879773139954,0.32223510306347763,100
40,40,1024,8.967040181159973,0.3654271569881729,100
41,41,1024,9.603520035743713,0.3584818886394287,100
42,42,1024,9.573760032653809,0.37735142594738524,100
43,43,1024,9.694079756736755,0.39062521611383005,100
44,44,1024,9.582080245018005,0.4137857227882723,100
45,45,1024,9.729920029640198,0.42623166350457237,100
46,46,1024,9.542080163955688,0.45415338432909486,100
47,47,1024,9.713600277900696,0.46574203905554723,100
48,48,1024,8.861439824104309,0.5324859270797951,100
49,49,1024,9.59775984287262,0.5123328860589893,100
50,50,1024,9.558719992637634,0.5356365709994175,100
51,51,1024,9.64031994342804,0.5525592543877548,100
52,52,1024,9.556480050086975,0.5794803077048855,100
53,53,1024,9.724159836769104,0.5916019580681229,100
54,54,1024,9.516800045967102,0.6275184905803206,100
55,55,1024,9.631040096282959,0.6432534739826283,100
56,56,1024,8.816319704055786,0.7284817492547865,100
57,57,1024,9.613440036773682,0.6921509859682965,100
58,58,1024,9.514560103416443,0.7240977959166144,100
59,59,1024,9.666240215301514,0.7375243984434363,100
60,60,1024,9.583359956741333,0.7693335148925161,100
61,61,1024,9.911680221557617,0.7688512774479345,100
62,62,1024,9.59775984287262,0.8202447371973155,100
63,63,1024,9.60864007472992,0.8459586306471654,100
64,64,1024,8.882240056991577,0.9444248237129079,100
65,65,1024,9.79968011379242,0.8829675968526504,50
66,66,1024,9.581440091133118,0.9310800793145675,50
67,67,1024,9.681280255317688,0.9496132492342895,50
68,68,1024,9.553279876708984,0.9912775635400217,50
69,69,1024,9.887359738349915,0.9861609426610436,50
70,70,1024,9.52127993106842,1.0539759436391143,50
71,71,1024,9.774720072746277,1.056190655401491,50
